millis,arduinoId,temp,humidity,pressure,uva,uvb,uvIndex
16797193,2,27.04,38.71,101.66,11.66,29.05,0.05
16858224,2,27.04,38.71,101.66,11.43,27.69,0.04
16919253,2,27.08,38.76,101.66,5.76,20.43,0.03
16980284,2,27.10,38.76,101.67,6.98,21.38,0.03
17041315,2,27.10,38.70,101.67,6.88,22.00,0.03
17102345,2,27.06,38.67,101.67,10.78,27.62,0.04
17163376,2,27.08,38.59,101.66,9.90,27.19,0.04
17224407,2,27.12,38.56,101.67,11.57,29.45,0.05
millis,arduinoId,temp,humidity,pressure,uva,uvb,uvIndex
16209,2,26.83,39.01,76.15,11.45,27.88,0.04
79825,2,26.77,39.07,101.66,11.90,29.19,0.05
143133,2,26.61,38.78,101.66,12.80,31.81,0.05
209377,2,26.61,38.82,101.66,9.92,28.38,0.04
277727,2,26.44,39.06,101.66,14.02,32.76,0.05
341181,2,26.21,39.37,101.66,12.35,30.50,0.05
404579,2,26.01,39.77,101.66,14.23,31.93,0.05
468073,2,25.86,40.16,101.66,2.84,15.62,0.02
531569,2,25.44,41.31,101.67,3.39,16.31,0.02
595002,2,25.22,41.93,101.67,2.39,15.31,0.02
658457,2,25.10,42.47,101.67,1.06,12.57,0.02
721953,2,24.93,42.86,101.67,1.40,13.09,0.02
785447,2,24.80,43.07,101.67,0.18,12.14,0.02
848947,2,24.66,43.55,101.67,2.40,14.09,0.02
912449,2,24.66,43.59,101.67,2.40,15.09,0.02
975947,2,24.64,43.79,101.67,2.18,14.14,0.02
1039429,2,24.53,44.19,101.67,1.85,14.40,0.02
1102927,2,24.49,44.20,101.67,1.63,13.45,0.02
1166432,2,24.57,44.31,101.67,4.63,18.45,0.03
1229918,2,24.60,44.31,101.67,4.08,18.76,0.03
1293323,2,24.62,44.31,101.67,3.30,15.71,0.02
1356808,2,24.59,44.39,101.68,0.75,13.02,0.02
1420201,2,24.60,44.38,101.67,2.30,15.71,0.02
1483702,2,24.59,44.44,101.67,2.30,17.45,0.03
1547095,2,24.55,44.52,101.67,4.30,16.71,0.02
1610481,2,24.60,44.56,101.67,2.42,14.28,0.02
1673882,2,24.59,44.46,101.68,-0.43,12.82,0.02
1737277,2,24.64,44.19,101.68,2.97,15.97,0.02
1800762,2,24.68,44.44,101.67,1.20,13.33,0.02
1864165,2,24.73,44.25,101.68,3.30,15.71,0.02
1927555,2,24.73,44.34,101.68,3.75,17.02,0.02
1991055,2,24.69,44.34,101.67,4.08,16.76,0.02
2054550,2,24.80,44.35,101.67,1.87,15.59,0.02
2117968,2,24.80,44.29,101.67,0.47,14.44,0.02
2181435,2,24.86,43.67,101.67,2.51,14.88,0.02
2244936,2,24.80,44.29,101.68,3.51,15.88,0.02
2308735,2,24.77,44.47,101.68,5.06,18.57,0.03
2372233,2,24.73,44.60,101.68,3.51,15.88,0.02
2435732,2,24.73,44.58,101.68,1.61,13.26,0.02
2499223,2,24.75,44.74,101.68,2.51,15.88,0.02
2562719,2,24.80,44.41,101.68,3.73,15.83,0.02
2626139,2,24.82,44.54,101.68,4.06,16.57,0.02
2689619,2,24.84,44.66,101.68,1.61,14.26,0.02
2753104,2,24.77,44.69,101.69,1.84,13.62,0.02
2816498,2,24.80,44.78,101.69,3.49,15.69,0.02
2879899,2,24.86,44.66,101.68,1.94,14.00,0.02
2943303,2,24.80,44.72,101.69,2.94,16.00,0.02
3006782,2,24.71,44.73,101.69,3.28,16.52,0.02
3070278,2,24.75,44.80,101.69,1.73,13.83,0.02
3133776,2,24.79,44.70,101.69,2.21,16.11,0.02
3197268,2,24.77,44.36,101.69,1.18,14.14,0.02
3260767,2,24.77,44.77,101.69,2.85,15.40,0.02
3324258,2,24.79,44.65,101.69,0.21,12.11,0.02
3387754,2,24.88,44.48,101.69,1.28,13.52,0.02
3453716,2,24.86,44.60,101.69,-0.03,11.97,0.02
3517211,2,24.86,44.60,101.68,1.06,11.57,0.02
3580604,2,24.82,44.74,101.69,1.73,13.83,0.02
3643989,2,24.80,44.76,101.68,-1.67,10.68,0.01
3707592,2,24.86,44.31,101.68,-1.03,9.97,0.01
3770985,2,24.88,44.54,101.68,1.40,14.09,0.02
3834378,2,24.84,44.57,101.68,-1.15,10.40,0.01
3897785,2,24.88,44.62,101.68,-1.58,10.28,0.01
3961271,2,24.90,44.51,101.68,-3.31,9.39,0.01
4024767,2,24.93,44.04,101.68,0.40,13.09,0.02
4088363,2,25.02,44.56,101.69,2.18,14.14,0.02
4151797,2,25.06,44.42,101.68,1.08,13.76,0.02
4215198,2,25.13,44.29,101.69,2.63,15.45,0.02
4278649,2,25.10,44.24,101.69,0.42,13.28,0.02
4342146,2,25.10,44.28,101.69,-0.34,12.42,0.02
4405536,2,25.15,44.02,101.69,2.42,15.28,0.02
4469051,2,25.20,44.15,101.69,3.21,16.11,0.02
4532539,2,25.11,43.97,101.69,1.75,15.02,0.02
4596059,2,25.15,44.07,101.69,3.09,16.54,0.02
4659539,2,25.10,44.13,101.69,-0.13,12.59,0.02
4723019,2,25.15,44.09,101.69,0.33,12.68,0.02
4786621,2,25.15,43.98,101.69,3.94,16.00,0.02
4850134,2,25.20,44.53,101.69,0.42,13.28,0.02
4913614,2,25.22,44.06,101.69,4.49,17.69,0.03
4977104,2,25.22,44.53,101.69,1.33,13.68,0.02
5040719,2,25.19,43.92,101.69,0.94,12.00,0.02
5104201,2,25.19,44.48,101.69,2.49,14.69,0.02
5167635,2,25.19,44.45,101.70,1.49,13.69,0.02
5231191,2,25.20,44.54,101.70,-1.12,10.37,0.01
5294587,2,25.17,44.11,101.69,2.73,14.83,0.02
5358083,2,25.11,44.35,101.69,0.73,11.83,0.02
5421593,2,25.20,44.32,101.69,2.42,14.28,0.02
5485225,2,25.19,44.24,101.70,-0.67,11.68,0.01
5548775,2,25.26,43.97,101.70,-1.67,10.68,0.01
5612270,2,25.28,44.05,101.70,0.85,12.40,0.01
5675768,2,25.26,44.16,101.69,1.06,12.57,0.02
5739363,2,25.26,44.30,101.69,2.73,14.83,0.02
5802893,2,25.26,44.32,101.70,2.61,15.26,0.02
5866359,2,25.24,44.49,101.70,-0.39,11.26,0.01
5929799,2,25.30,44.26,101.70,1.18,13.14,0.02
5993253,2,25.30,44.11,101.70,-1.27,9.83,0.01
6056742,2,25.33,44.18,101.70,2.16,13.95,0.02
6120245,2,25.42,44.12,101.70,4.61,17.26,0.03
6183741,2,25.42,44.07,101.70,2.06,15.57,0.02
6247332,2,25.31,44.13,101.70,2.51,15.88,0.02
6310838,2,25.33,44.15,101.70,3.18,16.14,0.02
6374326,2,25.37,44.17,101.70,4.51,17.88,0.03
6437820,2,25.26,44.22,101.71,2.51,15.88,0.02
6501321,2,25.31,44.30,101.70,0.51,12.88,0.02
6564814,2,25.37,44.31,101.71,3.39,15.31,0.02
6628328,2,25.37,44.24,101.70,1.39,13.31,0.02
6691808,2,25.35,44.38,101.71,2.94,15.00,0.02
6755336,2,25.31,44.51,101.70,3.49,15.69,0.02
6818901,2,25.26,44.51,101.71,2.94,16.00,0.02
6882396,2,25.33,44.54,101.71,2.94,15.00,0.02
6945994,2,25.41,44.51,101.71,2.94,15.00,0.02
7009597,2,25.46,44.42,101.71,3.94,16.00,0.02
7073190,2,25.44,44.50,101.71,2.27,14.74,0.02
7136791,2,25.35,44.43,101.71,2.82,15.43,0.02
7200390,2,25.42,44.44,101.71,2.49,14.69,0.02
7263987,2,25.41,44.60,101.71,1.82,12.43,0.02
7327589,2,25.35,44.61,101.72,4.37,17.12,0.03
7391182,2,25.42,44.57,101.71,0.82,12.43,0.02
7454717,2,25.39,44.61,101.71,3.37,15.12,0.02
7518286,2,25.42,44.59,101.71,2.37,14.12,0.02
7581880,2,25.39,44.60,101.72,2.37,14.12,0.02
7645478,2,25.46,44.68,101.71,1.37,13.12,0.02
7709073,2,25.42,44.56,101.72,-0.18,11.43,0.02
7772675,2,25.48,44.56,101.72,0.49,12.69,0.02
7836277,2,25.53,44.42,101.72,1.49,12.69,0.02
7899765,2,25.51,44.40,101.73,1.49,13.69,0.02
7963366,2,25.57,44.25,101.73,1.61,13.26,0.02
8026967,2,25.55,44.17,101.73,1.61,14.26,0.02
8090459,2,25.59,44.18,101.72,2.61,15.26,0.02
8154061,2,25.55,44.17,101.73,1.94,14.00,0.02
8217500,2,25.62,44.03,101.72,1.94,14.00,0.02
8281061,2,25.62,43.92,101.72,0.94,13.00,0.02
8344549,2,25.66,44.16,101.72,2.27,14.74,0.02
8408149,2,25.59,44.15,101.72,2.27,14.74,0.02
8471642,2,25.59,44.23,101.72,1.94,13.00,0.02
8535242,2,25.53,44.28,101.73,1.94,14.00,0.02
8598659,2,25.61,44.14,101.73,2.94,16.00,0.02
8662148,2,25.53,44.15,101.73,2.39,15.31,0.02
8725628,2,25.59,44.18,101.73,1.39,14.31,0.02
8789123,2,25.53,44.35,101.73,3.06,15.57,0.02
8852624,2,25.64,44.15,101.73,3.06,15.57,0.02
8916116,2,25.72,43.96,101.73,3.06,15.57,0.02
8979614,2,25.64,44.01,101.73,2.39,15.31,0.02
9043042,2,25.64,44.08,101.73,3.06,15.57,0.02
9106605,2,25.61,44.05,101.73,0.51,12.88,0.02
9170201,2,25.66,44.07,101.73,1.51,13.88,0.02
9233700,2,25.61,44.10,101.73,1.18,14.14,0.02
9297195,2,25.61,44.12,101.73,0.09,12.54,0.02
9360692,2,25.64,43.87,101.73,-0.37,11.45,0.01
9424187,2,25.68,43.92,101.73,-0.79,12.11,0.02
9487683,2,25.70,43.82,101.73,1.39,14.31,0.02
9551132,2,25.66,44.08,101.73,1.39,13.31,0.02
9614572,2,25.55,44.12,101.73,2.39,14.31,0.02
9678068,2,25.55,44.28,101.73,1.27,12.74,0.02
9741565,2,25.62,44.44,101.73,3.82,15.43,0.02
9805061,2,25.53,44.48,101.73,2.27,14.74,0.02
9868559,2,25.59,44.44,101.73,1.27,12.74,0.02
9932053,2,25.61,44.38,101.74,3.49,15.69,0.02
9995551,2,25.59,44.36,101.73,1.27,13.74,0.02
10059023,2,25.62,44.38,101.74,3.27,15.74,0.02
10122548,2,25.68,44.27,101.74,2.27,14.74,0.02
10185977,2,25.68,44.28,101.73,2.27,13.74,0.02
10249467,2,25.70,44.20,101.73,2.82,15.43,0.02
10312928,2,25.66,44.26,101.73,2.82,15.43,0.02
10376422,2,25.66,44.38,101.73,2.82,14.43,0.02
10439818,2,25.62,44.32,101.73,2.82,14.43,0.02
10503314,2,25.72,44.25,101.73,-0.18,10.43,0.01
10566812,2,25.73,44.43,101.74,2.04,14.38,0.02
10630307,2,25.73,44.36,101.73,1.49,12.69,0.02
10693802,2,25.73,44.24,101.73,-0.06,10.00,0.01
10757304,2,25.77,44.18,101.74,-0.15,10.40,0.01
10820793,2,25.73,44.01,101.74,-1.82,9.14,0.01
10884291,2,25.77,44.00,101.74,0.18,12.14,0.02
10948096,2,25.73,43.83,101.74,1.94,13.00,0.02
11011596,2,25.77,44.24,101.74,1.94,13.00,0.02
11074984,2,25.81,44.18,101.73,0.28,11.52,0.02
11138482,2,25.79,43.98,101.73,1.28,13.52,0.02
11201978,2,25.77,44.19,101.74,-0.06,10.00,0.01
11265489,2,25.81,44.17,101.74,-2.48,7.66,0.01
11328970,2,25.77,43.93,101.74,0.49,11.69,0.02
11392465,2,25.81,44.09,101.73,1.92,13.81,0.02
11455961,2,25.84,44.38,101.73,3.13,13.98,0.02
11519456,2,25.77,44.66,101.73,2.13,12.98,0.02
11582953,2,25.72,44.82,101.73,1.80,13.24,0.02
11646449,2,25.75,44.69,101.73,1.92,13.81,0.02
11709946,2,25.77,44.52,101.73,-0.93,10.35,0.01
11773441,2,25.79,43.93,101.74,0.80,12.24,0.02
11836937,2,25.81,44.63,101.74,-1.39,9.26,0.01
11900433,2,25.79,44.06,101.73,-2.05,7.78,0.01
11963931,2,25.81,43.80,101.73,-2.72,8.52,0.01
